"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"Vietnam","Viet Khanh Company Limited","Hoa Phuc Hamlet Hoa Khanh Ward","Tien Giang","860000","Tin Giang","","Apparel","1377","950","427","0","","1156","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","Viet Long Giang Garment Joint Stock Company ","Highway 91 Group 9","Can Tho City","900000","Can Tho","","Apparel","1455","1135","320","0","","1289","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","Viet Long Hung Garment Company Limited","Hung Thanh Hamlet, Long Hung Ward","Go Cong Town","860000","Tin Giang","","Apparel","1876","1276","600","0","","1770","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","Viet Pan - Pacific Nam Dinh Co., Ltd","Giao Cu Trung village Dong Son commune Nam Truc district","Nam Dinh","07000","Nam Ðnh","","Apparel","1955","1838","117","0","","1819","FINISHED GOODS","PAN PACIFIC","Nike","SE ASIA"
"Vietnam","VIET THINH GARMENT JOINT STOCK COMPANY","58 Thoai Ngoc Hau street Ward Hoa Thanh Tan Phu District","HO CHI MINH","84","Ho Chi Minh","","Apparel","1559","1200","359","0","","1286","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","Viet Tien Garment Corporation","7 Le Minh Xuan Street Ward 7 Tan Binh District","Ho Chi Minh","7000","Ho Chi Minh","","Apparel","1592","1194","398","0","","1429","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","VIETNAM CHINGLUH SHOES CO. Ltd.","Thuan Dao Industrial Park","Ben Luc County","700000","Long An","","Footwear","17871","14297","3574","0","","16435","FINISHED GOODS","CHING LUH","Nike","SE ASIA"
"Vietnam","Vietnam Chingluh Shoes Co., Ltd - Vinh Long Branch","LOT G2-G8","VINH LONG","89000","Vinh Long","","Footwear","1270","838","432","0","","1147","FINISHED GOODS","CHING LUH","Nike","SE ASIA"
"Vietnam","VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II","HOA PHU INDUSTRIAL PARK","LONG HO DISTRICT","890000","Vinh Long","","Footwear","686","309","377","0","","566","FINISHED GOODS","CHING LUH","Nike","SE ASIA"
"Vietnam","Vietnam ECI Elastic Co., Ltd","D1 2 1 Da Deng Industrial Park","Thu Dau Mot","821390","Bình Duong","","Apparel","259","130","129","0","","220","MATERIALS","ECI","Nike","SE ASIA"
"Vietnam","Vietnam Golden Victory Co., Ltd.","DONG KY VILLAGE NGHIA MINH WARD NGHIA HUNG DISTRICT","Nam Dinh","420000","Nam Ðnh","","Footwear","9019","7215","1804","0","","8287","FINISHED GOODS","STELLA","Nike","SE ASIA"
"Vietnam","TKG TAEKWANG MOC BAI JOINT STOCK COMPANY","Hiep Thanh Commercial Area, Loi Thuan Commune","Tay Ninh","80000","Tây Ninh","","Footwear","8948","6890","2058","0","","7537","FINISHED GOODS","TAEKWANG","Nike","SE ASIA"
"Vietnam","Vietnam Pou Sung Co. Ltd.","Bau Xeo Industrial Zone Hill Village 61","TRANG BOM","76318","Ðng Nai","","Footwear","15870","13013","2857","0","","12290","FINISHED GOODS","POU CHEN","Nike","SE ASIA"
"Vietnam","Vietnam Weilina Footwear Co. Ltd","Vuc Phac Village","Yen Dinh District","44000","Thanh Hóa","","Footwear","5751","3853","1898","0","","4945","FINISHED GOODS","HUALI","Nike","SE ASIA"
"South Africa","VIMAL CLOTHING ENTERPRISE CC","4 Fairways Avenue Fairways Park","DURBAN","4301","Kwazulu-Natal","","Apparel","221","199","22","0","","213","FINISHED GOODS","VIMAL CLOTHING","Nike","EMEA"
"Vietnam","VINH LONG FOOTWEAR CO LTD","HOA PHU INDUSTRIAL ZONE","VINH LONG PROVINCE","890000","Vinh Long","","Footwear","9181","6610","2571","0","","7437","FINISHED GOODS","LAI YIH","Converse","SE ASIA"
"Vietnam","VINH TIEN GARMENT JOINT STOCK COMPANY","1A HUNG DAO VUONG WARD 1 VINH LONG CITY VINH LONG PROVINCE","Vinh Long","84-0270","Vinh Long","","Apparel","1912","1396","516","0","","1818","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
